Year (Ceremony),Film title used in nomination,Original title,Category,Winner(s),Country,Language(s)
1945 (18th),Marie-Louise,Marie-Louise,Writing (original screenplay),Richard Schweizer,Switzerland,German
1954 (27th),Gate of Hell[A],地獄門,Costume Design (color),Sanzo Wada,Japan,Japanese
1956 (29th),The Red Balloon,Le ballon rouge,Writing (original screenplay),Albert Lamorisse,France,French
1959 (32nd),Serengeti Shall Not Die,Serengeti darf nicht sterben,Documentary Feature,Bernhard Grzimek,Germany,German
1960 (33rd),Never on Sunday,Poté tin Kyriakí(Ποτέ την Κυριακή),Music (original song),"Manos Hadjidakis for ""Never On Sunday""",Greece,Greece
1961 (34th),La Dolce Vita,La Dolce Vita,Costume Design (black-and-white),Piero Gherardi,Italy,"Italian, English, French, German"
1962 (35th),Divorce Italian Style,Divorzio all'italiana,Writing (story and screenplay),Ennio de Concini Alfredo Giannetti Pietro Germi,Italy,Italian
1963 (36th),8½[B],8½[B],Costume Design (black-and-white),Piero Gherardi,Italy,"Italian, English, French, German"
1966 (39th),A Man and a Woman[B],Un homme et une femme,Writing (story and screenplay),Claude Lelouch (story and screenplay) Pierre Uytterhoeven (screenplay),France,French
1969 (42nd),Z[B],Z[B],Film Editing,Françoise Bonnot,Algeria,French
1973 (46th),Cries and Whispers,Viskningar och rop,Cinematography,Sven Nykvist,Sweden,Swedish
1983 (56th),Fanny and Alexander[B],Fanny och Alexander,Art Direction Cinematography Costume Design,Anna Asp (art direction) Sven Nykvist (cinematography) Marik Vos (costume design),Sweden,"Swedish, German, Yiddish, English"
1985 (58th),Ran,乱,Costume Design,Emi Wada,Japan,Japanese
1990 (63rd),Cyrano de Bergerac,Cyrano de Bergerac,Costume Design,Franca Squarciapino,France,French
1995 (68th),The Postman,Il postino,Music (original dramatic score),Luis Enrique Bacalov,Italy,"Italian, Spanish"
1998 (71st),Life Is Beautiful[B],La vita è bella,Actor in a Leading Role Music (original dramatic score),Roberto Benigni (best actor) Nicola Piovani (original dramatic score),Italy,"Italian, German, English"
2000 (73rd),"Crouching Tiger, Hidden Dragon[B][E]",臥虎藏龍,Art Direction Cinematography Music (original score),Tim Yip (art direction) Peter Pau (cinematography) Tan Dun (original score),Taiwan  China  Hong Kong  United States,Mandarin
2002 (75th),Talk to Her,Hable con ella,Writing (original screenplay),Pedro Almodóvar,Spain,Spanish
2004 (77th),The Motorcycle Diaries[E],Diarios de motocicleta,Music (original song),"Jorge Drexler for ""Al otro lado del río""",Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,"Quechua, Spanish"
2006 (79th),Letters from Iwo Jima[C][E],Letters from Iwo Jima[C][E],Sound Editing,Bub Asman Alan Robert Murray,United States,"Japanese, English"
2006 (79th),Pan's Labyrinth,El laberinto del fauno,Art Direction Cinematography Makeup,Eugenio Caballero (art direction) Pilar Revuelta (set decoration) Guillermo Navarro (cinematography) David Martí (makeup) Montse Ribé (makeup),Mexico  Spain,Spanish
2007 (80th),La Vie en Rose[E],La Môme,Actress in a Leading Role Makeup,Marion Cotillard (actress) Jan Archibald (makeup) Didier Lavergne (makeup),France  United Kingdom  Czech Republic,French
2011 (84th),The Artist[D],The Artist[D],Picture Director Actor in a Leading Role Music Costume Design,Thomas Langmann (producer) Michel Hazanavicius (director) Jean Dujardin (actor) Ludovic Bource (composer) Mark Bridges (costume design),France,Silent film
2018 (91st),Roma[B][E],Roma[B][E],Director Cinematography,"Alfonso Cuarón (director, cinematography)",Mexico,Spanish Mixtec
2019 (92nd),Parasite[B],기생충,Picture Director Original Screenplay,"Kwak Sin-ae (picture) Bong Joon-ho (picture, director, screenplay) Han Jin-won (screenplay)",South Korea,Korean
2022 (95th),All Quiet on the Western Front[B],Im Westen nichts Neues,Cinematography Music Production Design,James Friend (cinematography) Christian M. Goldbeck (art direction) Ernestine Hipper (set decoration) Volker Bertelmann (music),Germany,"German, French"
2022 (95th),RRR,RRR,Music (original song),"M. M. Keeravani (music) Chandrabose (lyrics) for ""Naatu Naatu""",India,"Telugu, English"
2023 (96th),Godzilla Minus One,ゴジラ-1.0,Visual Effects,Takashi Yamazaki Kiyoko Shibuya Masaki Takahashi Tatsuji Nojima,Japan,Japanese
2023 (96th),The Zone of Interest[B],The Zone of Interest[B],Sound,Tarn Willers Johnnie Burn,United Kingdom,German
2023 (96th),The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,Animated Feature,Hayao Miyazaki (director) Toshio Suzuki (producer),Japan,Japanese
2023 (96th),20 Days in Mariupol,20 днів у Маріуполі,Documentary Feature,Mstyslav Chernov (director and producer) Michelle Mizner (producer) Raney Aronson-Rath (producer),Ukraine,"Ukrainian, English, Russian"
2023 (96th),Anatomy of a Fall,Anatomie d'une chute,Original Screenplay,Arthur Harari Justine Triet,France,"French, English"
