1.stolpec,2.stolpec,3.stolpec,4.stolpec,5.stolpec,6.stolpec
Marie-Louise,Marie-Louise,1945,,Writing,Switzerland
Gate of Hell,地獄門,1954,,Costume Design,Japan
The Red Balloon,Le ballon rouge,1956,,Writing,France
Serengeti Shall Not Die,Serengeti darf nicht sterben,1959,,Documentary Feature,Germany
Never on Sunday,Poté tin Kyriakí(Ποτέ την Κυριακή),1960,,Music,Greece
La Dolce Vita,La Dolce Vita,1961,,Costume Design,Italy
Divorce Italian Style,Divorzio all'italiana,1962,,Writing,Italy
8½,8½,1963,,Costume Design,Italy
A Man and a Woman,Un homme et une femme,1966,,Writing,France
Z,Z,1969,,Film Editing,Algeria
Cries and Whispers,Viskningar och rop,1973,,Cinematography,Sweden
Fanny and Alexander,Fanny och Alexander,1983,,Art Direction Cinematography Costume Design,Sweden
Ran,乱,1985,,Costume Design,Japan
Cyrano de Bergerac,Cyrano de Bergerac,1990,,Costume Design,France
The Postman,Il postino,1995,,Music,Italy
Life Is Beautiful,La vita è bella,1998,,Actor in a Leading Role Music,Italy
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,,Art Direction Cinematography Music,Taiwan  China  Hong Kong  United States
Talk to Her,Hable con ella,2002,,Writing,Spain
The Motorcycle Diaries,Diarios de motocicleta,2004,,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States
Letters from Iwo Jima,Letters from Iwo Jima,2006,,Sound Editing,United States
Pan's Labyrinth,El laberinto del fauno,2006,,Art Direction Cinematography Makeup,Mexico  Spain
La Vie en Rose,La Môme,2007,,Actress in a Leading Role Makeup,France  United Kingdom  Czech Republic
The Artist,The Artist,2011,,Picture Director Actor in a Leading Role Music Costume Design,France
Roma,Roma,2018,,Director Cinematography,Mexico
Parasite,기생충,2019,,Picture Director Original Screenplay,South Korea
All Quiet on the Western Front,Im Westen nichts Neues,2022,,Cinematography Music Production Design,Germany
RRR,RRR,2022,,Music,India
Godzilla Minus One,ゴジラ-1.0,2023,,Visual Effects,Japan
The Zone of Interest,The Zone of Interest,2023,,Sound,United Kingdom
The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,2023,,Animated Feature,Japan
20 Days in Mariupol,20 днів у Маріуполі,2023,,Documentary Feature,Ukraine
Anatomy of a Fall,Anatomie d'une chute,2023,,Original Screenplay,France
